Engelse naam;;Soort (NL);Latijnse naam;Nederlandse naam;Soss.;Swak.;Etosh;Caprivi;Chobe;Bijz.
Northern Fiscal;Shrike;Klauwieren;Lanius humeralis;Noordelijke Gekraagde Klauwier;;;;;;
Cape Crow;Crow;Raven;Corvus capensis;Kaapse Roek;Vaak;Vaak;Vaak;;;
Pied Crow;Crow;Raven;Corvus albus;Schildraaf;Vaak;Vaak;Vaak;Vaak;Vaak;
House Crow;Crow;Raven;Corvus splendens;Huiskraai;;;;;;Zeldzaam/Dwaalgast 
African Paradise-flycatcher;Flycatcher;Paradijsmonarchen;Terpsiphone viridis;Afrikaanse Paradijsmonarch;;;Vaak;Vaak;Vaak;
Collared Sunbird;Sunbird;Honingzuigers;Hedydipna collaris;Halsbandhoningzuiger;;;;Vaak;Vaak;
Amethyst Sunbird;Sunbird;Honingzuigers;Chalcomitra amethystina;Amethisthoningzuiger;;;;Vaak;Vaak;
Scarlet-chested Sunbird;Sunbird;Honingzuigers;Chalcomitra senegalensis;Roodborsthoningzuiger;;;Vaak;Vaak;Vaak;
Malachite Sunbird;Sunbird;Honingzuigers;Nectarinia famosa;Emeraldhoningzuiger;;;;;;
Southern Double-collared Sunbird;Sunbird;Honingzuigers;Cinnyris chalybeus;Kleine Kraaghoningzuiger;;;;;;
Mariqua Sunbird;Sunbird;Honingzuigers;Cinnyris mariquensis;Maricohoningzuiger;;;Vaak;Vaak;Vaak;
Shelley's Sunbird;Sunbird;Honingzuigers;Cinnyris shelleyi;Shelley-honingzuiger;;;;;;
Purple-banded Sunbird;Sunbird;Honingzuigers;Cinnyris bifasciatus;Gewone Purperbandhoningzuiger;;;;;Soms;
White-bellied Sunbird;Sunbird;Honingzuigers;Cinnyris talatala;Witbuikhoningzuiger;;;Vaak;Vaak;Vaak;
Dusky Sunbird;Sunbird;Honingzuigers;Cinnyris fuscus;Roethoningzuiger;Vaak;Vaak;Vaak;;;
Copper Sunbird;Sunbird;Honingzuigers;Cinnyris cupreus;Koperhoningzuiger;;;;Vaak;Vaak;
Red-billed Buffalo Weaver;Weaver;Wevers;Bubalornis niger;Roodsnavelbuffelwever;;;Soms;Soms;Soms;
White-browed Sparrow Weaver;Weaver;Wevers;Plocepasser mahali;Mahaliwever;;Vaak;Vaak;Vaak;Vaak;
Scaly-fronted Weaver;Weaver;Wevers;Sporopipes squamifrons;Baardmanwever;Vaak;Vaak;Vaak;;;
Sociable Weaver;Weaver;Wevers;Philetairus socius;Republikeinwever;Vaak;Vaak;Vaak;;;
Grosbeak Weaver;Weaver;Wevers;Amblyospiza albifrons;Dikbekwever;;;;Vaak;Vaak;
Cardinal Quelea;Weaver;Wevers;Quelea cardinalis;Kardinaalwever;;;;;;Zeldzaam/Dwaalgast 
Red-headed Quelea;Weaver;Wevers;Quelea erythrops;Roodkopwever;;;;;;Zeldzaam/Dwaalgast 
Red-billed Quelea;Weaver;Wevers;Quelea quelea;Roodbekwever;;Soms;Soms;Soms;Soms;
Yellow-crowned Bishop;Weaver;Wevers;Euplectes afer;Napoleonwever;;;Soms;Soms;Soms;
Southern Red Bishop;Weaver;Wevers;Euplectes orix;Grenadierwever;Vaak;Vaak;Vaak;Vaak;Vaak;
Fan-tailed Widowbird;Weaver;Wevers;Euplectes axillaris;Roodschouderwidavink;;;;Soms;Soms;
White-winged Widowbird;Weaver;Wevers;Euplectes albonotatus;Spiegelwidavink;;;;Vaak;Vaak;
Spectacled Weaver;Weaver;Wevers;Ploceus ocularis;Brilwever;;;;Soms;Soms;
Cape Weaver;Weaver;Wevers;Ploceus capensis;Kaapse Wever;;;;;;
Holub's Weaver;Weaver;Wevers;Ploceus xanthops;Saffraanwever;;;;Zelden;Zelden;
Southern Brown-throated Weaver;Weaver;Wevers;Ploceus xanthopterus;Bruinkeelwever;;;;;Zelden;
Lesser Masked Weaver;Weaver;Wevers;Ploceus intermedius;Kleine Textorwever;;;Soms;Soms;Soms;
Southern Masked Weaver;Weaver;Wevers;Ploceus velatus;Maskerwever;Vaak;Vaak;Vaak;Vaak;Vaak;
Village Weaver;Weaver;Wevers;Ploceus cucullatus;Grote Textorwever;;;;Soms;Soms;
Chestnut Weaver;Weaver;Wevers;Ploceus rubiginosus;Kastanjewever;;Soms;Soms;;;
Red-headed Weaver;Weaver;Wevers;Anaplectes rubriceps;Scharlaken Wever;;;Soms;Soms;Soms;
Brown Firefinch;Firefinch/Waxbill;Astrilden;Lagonosticta nitidula;Bruine Amarant;;;;Soms;Soms;
Red-billed Firefinch;Firefinch/Waxbill;Astrilden;Lagonosticta senegala;Vuurvinkje;;;Vaak;Vaak;Vaak;
Jameson's Firefinch;Firefinch/Waxbill;Astrilden;Lagonosticta rhodopareia;Roze Amarant;;;;Vaak;Vaak;
Orange-winged Pytilia;Firefinch/Waxbill;Astrilden;Pytilia afra;Wenerastrild;;;;;;
Green-winged Pytilia;Firefinch/Waxbill;Astrilden;Pytilia melba;Melba-astrild;;;Soms;Soms;Soms;
Violet-eared Waxbill;Firefinch/Waxbill;Astrilden;Granatina granatina;Granaatastrild;;Vaak;Vaak;Vaak;Vaak;
Blue-breasted Cordon-bleu;Firefinch/Waxbill;Astrilden;Uraeginthus angolensis;Angolees Blauwfazantje;;;Vaak;Vaak;Vaak;
Cinderella Waxbill;Firefinch/Waxbill;Astrilden;Estrilda thomensis;Cinderella-astrild;;;;;;
Common Waxbill;Firefinch/Waxbill;Astrilden;Estrilda astrild;Sint-helenafazantje;Vaak;Vaak;Vaak;Vaak;Vaak;
Black-faced Waxbill;Firefinch/Waxbill;Astrilden;Estrilda erythronotos;Elfenastrild;;;Vaak;Vaak;Vaak;
Red-headed Finch;Firefinch/Waxbill;Astrilden;Amadina erythrocephala;Roodkopamadine;Vaak;Vaak;Vaak;;;
Cut-throat Finch;Firefinch/Waxbill;Astrilden;Amadina fasciata;Bandvink;;;;Soms;Soms;
African Quailfinch;Firefinch/Waxbill;Astrilden;Ortygospiza fuscocrissa;Brilastrild;;;Vaak;Vaak;Vaak;
Zebra Waxbill;Firefinch/Waxbill;Astrilden;Amandava subflava;Goudbuikje;;;;Soms;Soms;
Bronze Mannikin;Firefinch/Waxbill;Astrilden;Spermestes cucullata;Gewoon Ekstertje;;;;Vaak;Vaak;
Magpie Mannikin;Firefinch/Waxbill;Astrilden;Spermestes fringilloides;Reuzenekstertje;;;;Zelden;Zelden;Zeldzaam/Dwaalgast 
Pin-tailed Whydah;Whydah;Widas;Vidua macroura;Dominicanerwida;;;;Vaak;Vaak;
Eastern Paradise Whydah;Whydah;Widas;Vidua paradisaea;Smalstaartparadijswida;;;Vaak;Vaak;Vaak;
Broad-tailed Paradise Whydah;Whydah;Widas;Vidua obtusa;Breedstaartparadijswida;;;;Soms;Zelden;
Shaft-tailed Whydah;Whydah;Widas;Vidua regia;Koningswida;;;Vaak;Vaak;Vaak;
Village Indigobird;Whydah;Widas;Vidua chalybeata;Staalvink;;;;Vaak;Vaak;
Purple Indigobird;Whydah;Widas;Vidua purpurascens;Purperstaalvink;;;;Soms;Soms;
Parasitic Weaver;Whydah;Widas;Anomalospiza imberbis;Koekoekswever;;;;Zelden;Zelden;
House Sparrow;Sparrow;Mussen;Passer domesticus;Huismus;Vaak;Vaak;Vaak;Vaak;Vaak;Geïntroduceerde soort 
Rufous Sparrow;Sparrow;Mussen;Passer motitensis;Roestmus;;Soms;Soms;;;
Cape Sparrow;Sparrow;Mussen;Passer melanurus;Kaapse Mus;Vaak;Vaak;Vaak;;;
Northern Grey-headed Sparrow;Sparrow;Mussen;Passer griseus;Grijskopmus;;;;;;Zeldzaam/Dwaalgast 
Southern Grey-headed Sparrow;Sparrow;Mussen;Passer diffusus;Mozambiquemus;;Vaak;Vaak;Vaak;Vaak;
Yellow-throated Bush Sparrow;Sparrow;Mussen;Gymnoris superciliaris;Kaapse Rotsmus;;;;Soms;Soms;
Tree Pipit;Pipit/Wagtail;Piepers;Anthus trivialis;Boompieper;;;;Zelden;Zelden;Zeldzaam/Dwaalgast 
Red-throated Pipit;Pipit/Wagtail;Piepers;Anthus cervinus;Roodkeelpieper;;;;;;Zeldzaam/Dwaalgast 
Woodland Pipit;Pipit/Wagtail;Piepers;Anthus nyassae;Bospieper;;;;;;
Plain-backed Pipit;Pipit/Wagtail;Piepers;Anthus leucophrys;Bruinrugpieper;;;;Vaak;Vaak;
African Pipit;Pipit/Wagtail;Piepers;Anthus cinnamomeus;Kaneelpieper;;;Vaak;Vaak;Vaak;
Buffy Pipit;Pipit/Wagtail;Piepers;Anthus vaalensis;Vaalrivierpieper;;;Zelden;Zelden;Zelden;
Long-tailed Pipit;Pipit/Wagtail;Piepers;Anthus longicaudatus;Langstaartpieper;;;;;;
Kimberley Pipit;Pipit/Wagtail;Piepers;Anthus pseudosimilis;Kimberleypieper;;;;;;
Long-billed Pipit;Pipit/Wagtail;Piepers;Anthus similis;Langsnavelpieper;Soms;Soms;Soms;Soms;Soms;
Rosy-breasted Longclaw;Pipit/Wagtail;Piepers;Macronyx ameliae;Roodkeellangklauw;;;;Zelden;Zelden;
Cape Wagtail;Pipit/Wagtail;Piepers;Motacilla capensis;Kaapse Kwikstaart;Vaak;Vaak;Vaak;Vaak;Vaak;
Yellow Wagtail;Pipit/Wagtail;Piepers;Motacilla flava;Gele Kwikstaart;;Soms;Soms;Soms;Soms;
African Wagtail;Pipit/Wagtail;Piepers;Motacilla aguimp;Afrikaanse Bonte Kwikstaart;;;;Soms;Soms;
Grey Wagtail;Pipit/Wagtail;Piepers;Motacilla cinerea;Grote Gele Kwikstaart;;;;;;Zeldzaam/Dwaalgast 
Citrine Wagtail;Pipit/Wagtail;Piepers;Motacilla citreola;Citroenkwikstaart;;;;;;Zeldzaam/Dwaalgast 
Black-throated Canary;Canary;Kanaries;Crithagra atrogularis;Zwartkeelkanarie;;;Vaak;Vaak;Vaak;
Yellow-fronted Canary;Canary;Kanaries;Crithagra mozambica;Mozambiquesijs;;;;Vaak;Vaak;
Yellow Canary;Canary;Kanaries;Crithagra flaviventris;Geelbuikkanarie;Vaak;Vaak;Vaak;;;
White-throated Canary;Canary;Kanaries;Crithagra albogularis;Witkeelkanarie;Vaak;Vaak;Vaak;;;
Black-headed Canary;Canary;Kanaries;Serinus alario;Alariokanarie;Soms;Soms;;;;
Golden-breasted Bunting;Bunting;Gorsen;Fringillaria flaviventris;Acaciagors;;;Soms;Soms;Soms;
Cape Bunting;Bunting;Gorsen;Fringillaria capensis;Kaapse Gors;Soms;Soms;Soms;;;
Lark-like Bunting;Bunting;Gorsen;Fringillaria impetuani;Leeuwerikgors;Soms;Soms;Soms;;;
Cinnamon-breasted Bunting;Bunting;Gorsen;Fringillaria tahapisi;Zevenstrepengors;;;Vaak;;;
Ortolan Bunting;Bunting;Gorsen;Emberiza hortulana;Ortolaan;;;;;;Zeldzaam/Dwaalgast 
African Fairy-flycatcher;Flycatcher;Vliegenvangers;Stenostira scita;Elfvliegenvanger;;;;;;
Rufous-bellied Tit;Tit;Mezen;Melaniparus rufiventris;Roestbuikmees;;;Soms;Soms;;
Carp's Tit;Tit;Mezen;Melaniparus carpi;Carps Mees;;Vaak;Vaak;;;
Southern Black Tit;Tit;Mezen;Melaniparus niger;Roetmees;;;Vaak;Vaak;Vaak;
Grey Tit;Tit;Mezen;Melaniparus afer;Kaapse Mees;Vaak;;;;;
Ashy Tit;Tit;Mezen;Melaniparus cinerascens;Acaciamees;Vaak;Vaak;Vaak;;;
Grey Penduline Tit;Tit;Mezen;Anthoscopus caroli;Acaciakapokmees;;;Vaak;Vaak;Vaak;
Cape Penduline Tit;Tit;Mezen;Anthoscopus minutus;Kaapse Kapokmees;Soms;Soms;Soms;;;
Eastern Nicator;Nicator;Nicators;Nicator gularis;Bruinkopnicator;;;;Vaak;Vaak;
Spike-heeled Lark;Lark;Leeuwerikken;Chersomanes albofasciata;Sjirpleeuwerik;Vaak;Vaak;Vaak;;;
Gray's Lark;Lark;Leeuwerikken;Ammomanopsis grayi;Namibleeuwerik;;Zelden;;;;
Benguela Long-billed Lark;Lark;Leeuwerikken;Certhilauda benguelensis;Benguelalangsnavelleeuwerik;;;;;;
Karoo Long-billed Lark;Lark;Leeuwerikken;Certhilauda subcoronata;Karoolangsnavelleeuwerik;;;;;;
Cape Long-billed Lark;Lark;Leeuwerikken;Certhilauda curvirostris;Kaapse Langsnavelleeuwerik;;;;;;
Dusky Lark;Lark;Leeuwerikken;Pinarocorys nigricans;Lijsterleeuwerik;;;Zelden;Zelden;Zelden;
Black-eared Sparrow Lark;Lark;Leeuwerikken;Eremopterix australis;Kafferleeuwerik;;;;;;
Chestnut-backed Sparrow Lark;Lark;Leeuwerikken;Eremopterix leucotis;Bruinrugvinkleeuwerik;;;Soms;Soms;Soms;
Grey-backed Sparrow Lark;Lark;Leeuwerikken;Eremopterix verticalis;Grijsrugvinkleeuwerik;Soms;Soms;Soms;;;
Sabota Lark;Lark;Leeuwerikken;Calendulauda sabota;Sabotaleeuwerik;Vaak;Vaak;Vaak;Vaak;;
Fawn-coloured Lark;Lark;Leeuwerikken;Calendulauda africanoides;Savanne-leeuwerik;;;Vaak;Vaak;Vaak;
Red Lark;Lark;Leeuwerikken;Calendulauda burra;Rode Leeuwerik;;;;;;Kwetsbaar
Dune Lark;Lark;Leeuwerikken;Calendulauda erythrochlamys;Roodrugleeuwerik;;Zelden;;;;Endemisch
Barlow's Lark;Lark;Leeuwerikken;Calendulauda barlowi;Barlows Leeuwerik;;;;;;
Cape Clapper Lark;Lark;Leeuwerikken;Mirafra apiata;Klapperleeuwerik;Vaak;Vaak;Vaak;;;
Eastern Clapper Lark;Lark;Leeuwerikken;Mirafra fasciolata;Oostelijke Klapperleeuwerik;;;;;;
Rufous-naped Lark;Lark;Leeuwerikken;Mirafra africana;Roodnekleeuwerik;;;Vaak;Vaak;Vaak;
Flappet Lark;Lark;Leeuwerikken;Mirafra rufocinnamomea;Ratelleeuwerik;;;Vaak;Vaak;Vaak;
Monotonous Lark;Lark;Leeuwerikken;Mirafra passerina;Musleeuwerik;;Vaak;Vaak;Vaak;Vaak;
Red-capped Lark;Lark;Leeuwerikken;Calandrella cinerea;Roodkapleeuwerik;Vaak;Vaak;Vaak;Vaak;Vaak;
Sclater's Lark;Lark;Leeuwerikken;Spizocorys sclateri;Namaqualeeuwerik;;;;;;Bijna uitgestorven
Stark's Lark;Lark;Leeuwerikken;Spizocorys starki;Starks Leeuwerik;Soms;Soms;Soms;;;
Pink-billed Lark;Lark;Leeuwerikken;Spizocorys conirostris;Roodsnavelleeuwerik;;;Soms;;;
Large-billed Lark;Lark;Leeuwerikken;Galerida magnirostris;Grootsnavelleeuwerik;;;;;;
Long-billed Crombec;Crombec;Krombekken;Sylvietta rufescens;Kaapse Krombek;Vaak;Vaak;Vaak;Vaak;Vaak;
Rockrunner;Crombec;Krombekken;Achaetops pycnopygius;Roodstuitrotszanger;;;Soms;;;
Yellow-bellied Eremomela;Erenomela/Cisticola;Zangers;Eremomela icteropygialis;Geelbuik-eremomela;Vaak;Vaak;Vaak;Vaak;Vaak;
Green-capped Eremomela;Erenomela/Cisticola;Zangers;Eremomela scotops;Groenkaperemomela;;;;Zelden;Zelden;
Karoo Eremomela;Erenomela/Cisticola;Zangers;Eremomela gregalis;Karoo-eremomela;Zelden;Zelden;;;;
Burnt-necked Eremomela;Erenomela/Cisticola;Zangers;Eremomela usticollis;Roesthalseremomela;;;Vaak;Vaak;Vaak;
Namaqua Warbler;Erenomela/Cisticola;Zangers;Phragmacia substriata;Namaquaprinia;;;;;;
Yellow-breasted Apalis;Erenomela/Cisticola;Zangers;Apalis flavida;Geelborstapalis;;;Vaak;Vaak;Vaak;
Miombo Wren Warbler;Erenomela/Cisticola;Zangers;Calamonastes undosus;Miombosavannezanger;;;;Vaak;Vaak;
Barred Wren Warbler;Erenomela/Cisticola;Zangers;Calamonastes fasciolatus;Gebandeerde Savannezanger;;;Vaak;Vaak;;
Grey-backed Camaroptera;Erenomela/Cisticola;Zangers;Camaroptera brachyura;Mekker-camaroptera;;;Vaak;Vaak;Vaak;
Cinnamon-breasted Warbler;Erenomela/Cisticola;Zangers;Euryptila subcinnamomea;Kopjeszanger;Zelden;;;;;
Rufous-eared Warbler;Erenomela/Cisticola;Zangers;Malcorus pectoralis;Roodoorprinia;Vaak;Vaak;Vaak;;;
Red-faced Cisticola;Erenomela/Cisticola;Zangers;Cisticola erythrops;Roodmaskergraszanger;;;;Vaak;Vaak;
Rattling Cisticola;Erenomela/Cisticola;Zangers;Cisticola chiniana;Ratelgraszanger;;;Vaak;Vaak;Vaak;
Tinkling Cisticola;Erenomela/Cisticola;Zangers;Cisticola rufilatus;Roodstaartgraszanger;;;Soms;Soms;Soms;
Grey-backed Cisticola;Erenomela/Cisticola;Zangers;Cisticola subruficapilla;Rotsgraszanger;Vaak;Vaak;;;;
Winding Cisticola;Erenomela/Cisticola;Zangers;Cisticola galactotes;Zwartrug-graszanger;;;;Soms;Soms;
Chirping Cisticola;Erenomela/Cisticola;Zangers;Cisticola pipiens;Moerasgraszanger;;;;Soms;Soms;
Levaillant's Cisticola;Erenomela/Cisticola;Zangers;Cisticola tinniens;Valleigraszanger;;;;;;
Piping Cisticola;Erenomela/Cisticola;Zangers;Cisticola fulvicapilla;Bruinkopgraszanger;;;Vaak;Vaak;Vaak;
Zitting Cisticola;Erenomela/Cisticola;Zangers;Cisticola juncidis;Graszanger;;Vaak;;Vaak;Vaak;
Desert Cisticola;Erenomela/Cisticola;Zangers;Cisticola aridulus;Kalaharigraszanger;;Soms;Soms;Soms;Soms;
Tawny-flanked Prinia;Erenomela/Cisticola;Zangers;Prinia subflava;Roestflankprinia;;;;Vaak;Vaak;
Black-chested Prinia;Erenomela/Cisticola;Zangers;Prinia flavicans;Zwartborstprinia;Vaak;Vaak;Vaak;Vaak;Vaak;
Karoo Prinia;Erenomela/Cisticola;Zangers;Prinia maculosa;Karooprinia;Vaak;;;;;
River Warbler;Warbler;Zangers;Locustella fluviatilis;Krekelzanger;;;;;Zelden;
Little Rush Warbler;Warbler;Zangers;Bradypterus baboecala;Moeras-struikzanger;;;;Soms;Soms;
Olive-tree Warbler;Warbler;Karekieten/Spotvogels;Hippolais olivetorum;Griekse Spotvogel;;;;;Zelden;
Icterine Warbler;Warbler;Karekieten/Spotvogels;Hippolais icterina;Spotvogel;;;Vaak;Vaak;Vaak;
Sedge Warbler;Warbler;Karekieten/Spotvogels;Acrocephalus schoenobaenus;Rietzanger;;;Vaak;Vaak;Vaak;
Marsh Warbler;Warbler;Karekieten/Spotvogels;Acrocephalus palustris;Bosrietzanger;;;;;;
Common Reed Warbler;Warbler;Karekieten/Spotvogels;Acrocephalus scirpaceus;Kleine Karekiet;;;;;Zelden;
Lesser Swamp Warbler;Warbler;Karekieten/Spotvogels;Acrocephalus gracilirostris;Kaapse Rietzanger;;;Soms;Soms;Soms;
Greater Swamp Warbler;Warbler;Karekieten/Spotvogels;Acrocephalus rufescens;Papyrusrietzanger;;;;;;
Great Reed Warbler;Warbler;Karekieten/Spotvogels;Acrocephalus arundinaceus;Grote Karekiet;;;Vaak;Vaak;Vaak;
Grey-rumped Swallow;Swallow;Zwaluwen;Pseudhirundo griseopyga;Grijsstuitzwaluw;;;;Soms;Soms;
Northern House Martin;Swallow;Zwaluwen;Delichon urbicum;Huiszwaluw;Vaak;Vaak;Vaak;Vaak;Vaak;
South African Swallow;Swallow;Zwaluwen;Petrochelidon spilodera;Kaapse Klifzwaluw;Vaak;Vaak;Vaak;;;
Lesser Striped Swallow;Swallow;Zwaluwen;Cecropis abyssinica;Savannezwaluw;;;Soms;Soms;Soms;
Rufous-chested Swallow;Swallow;Zwaluwen;Cecropis semirufa;Roodborstzwaluw;;;Soms;Soms;Soms;
Mosque Swallow;Swallow;Zwaluwen;Cecropis senegalensis;Moskeezwaluw;;;Zelden;Zelden;Zelden;
Greater Striped Swallow;Swallow;Zwaluwen;Cecropis cucullata;Kaapse Zwaluw;Vaak;Vaak;Vaak;Vaak;Vaak;
White-throated Swallow;Swallow;Zwaluwen;Hirundo albigularis;Witkeelzwaluw;Vaak;Vaak;Vaak;Vaak;Vaak;
Wire-tailed Swallow;Swallow;Zwaluwen;Hirundo smithii;Roodkruinzwaluw;;;Vaak;Vaak;Vaak;
Barn Swallow;Swallow;Zwaluwen;Hirundo rustica;Boerenzwaluw;Vaak;Vaak;Vaak;Vaak;Vaak;
Angolan Swallow;Swallow;Zwaluwen;Hirundo angolensis;Angolese Zwaluw;;;;;;Zeldzaam/Dwaalgast 
Pearl-breasted Swallow;Swallow;Zwaluwen;Hirundo dimidiata;Parelborstzwaluw;Soms;Soms;Soms;Soms;Soms;
Rock Martin;Swallow;Zwaluwen;Ptyonoprogne fuligula;Kaapse Rotszwaluw;Vaak;Vaak;Vaak;;;
Banded Martin;Swallow;Zwaluwen;Neophedina cincta;Witbrauwzwaluw;;Soms;Soms;Soms;Soms;
Plain Martin;Swallow;Zwaluwen;Riparia paludicola;Vale Oeverzwaluw;Vaak;Vaak;Vaak;Vaak;Vaak;
Sand Martin;Swallow;Zwaluwen;Riparia riparia;Oeverzwaluw;;;Zelden;Zelden;Zelden;
Yellow-throated Greenbul;Greenbul;Buulbulen;Atimastillas flavicollis;Geelkraagbuulbuul;;;;;;Zeldzaam/Dwaalgast 
Yellow-bellied Greenbul;Greenbul;Buulbulen;Chlorocichla flaviventris;Geelborstbuulbuul;;;;Soms;Soms;
Terrestrial Brownbul;Greenbul;Buulbulen;Phyllastrephus terrestris;Kaapse Loofbuulbuul;;;;Vaak;Vaak;
Black-fronted Bulbul;Greenbul;Buulbulen;Pycnonotus nigricans;Maskerbuulbuul;Vaak;Vaak;Vaak;Vaak;Vaak;
Cape Bulbul;Greenbul;Buulbulen;Pycnonotus capensis;Kaapse Buulbuul;;;;;;
Common Bulbul;Greenbul;Buulbulen;Pycnonotus barbatus;Grauwe Buulbuul;;;;Vaak;Vaak;
Willow Warbler;Warbler;Fitis;Phylloscopus trochilus;Fitis;;;Vaak;Vaak;Vaak;
Eurasian Blackcap;Warbler;Mussen;Sylvia atricapilla;Zwartkop;;;;;;Zeldzaam/Dwaalgast 
Garden Warbler;Warbler;Mussen;Sylvia borin;Tuinfluiter;;;Vaak;Vaak;Vaak;
Layard's Warbler;Warbler;Mussen;Curruca layardi;Layards Meeszanger;Vaak;Vaak;;;;
Chestnut-vented Warbler;Warbler;Mussen;Curruca subcoerulea;Kaapse Meeszanger;Vaak;Vaak;Vaak;Vaak;Vaak;
Common Whitethroat;Warbler;Mussen;Curruca communis;Grasmus;;;Soms;Soms;Soms;
African Yellow White-eye;White-eye;Brilvogels;Zosterops senegalensis;Afrikaanse Brilvogel;;;;Vaak;Vaak;
Orange River White-eye;White-eye;Brilvogels;Zosterops pallidus;Oranjerivierbrilvogel;Vaak;Vaak;Vaak;;;
Black-faced Babbler;Babbler;Babbelaars;Turdoides melanops;Zwartteugelbabbelaar;;;Zelden;Zelden;;
Arrow-marked Babbler;Babbler;Babbelaars;Turdoides jardineii;Pijlpuntbabbelaar;;;;Vaak;Vaak;
Hartlaub's Babbler;Babbler;Babbelaars;Turdoides hartlaubii;Zuidelijke Witstuitbabbelaar;;;;Soms;Soms;
Southern Pied Babbler;Babbler;Babbelaars;Turdoides bicolor;Eksterbabbelaar;;;Vaak;Vaak;;
Bare-cheeked Babbler;Babbler;Babbelaars;Turdoides gymnogenys;Naaktwangbabbelaar;;;Soms;;;
Red-billed Oxpecker;Oxpecker;Ossenpikkers;Buphagus erythrorhynchus;Roodsnavelossenpikker;;;;Zelden;Zelden;
Yellow-billed Oxpecker;Oxpecker;Ossenpikkers;Buphagus africanus;Geelsnavelossenpikker;;;;Soms;Soms;
Common Starling;Starling;Spreeuwen;Sturnus vulgaris;Spreeuw;;;;;;Geïntroduceerde soort 
Wattled Starling;Starling;Spreeuwen;Creatophora cinerea;Lelspreeuw;Soms;Soms;Soms;Soms;Soms;
Common Myna;Starling;Spreeuwen;Acridotheres tristis;Treurmaina;;;;;;Zeldzaam/Dwaalgast 
Pale-winged Starling;Starling;Spreeuwen;Onychognathus nabouroup;Vaalvleugelspreeuw;Vaak;Vaak;Vaak;;;
Burchell's Starling;Starling;Spreeuwen;Lamprotornis australis;Grote Glansspreeuw;;;Vaak;Vaak;Vaak;
Meves's Long-tailed Starling;Starling;Spreeuwen;Lamprotornis mevesii;Meves' Langstaartglansspreeuw;;;Soms;Soms;Soms;
Sharp-tailed Starling;Starling;Spreeuwen;Lamprotornis acuticaudus;Pijlstaartglansspreeuw;;;Zelden;;;
Lesser Blue-eared Starling;Starling;Spreeuwen;Lamprotornis chloropterus;Blauwoor-glansspreeuw;;;;;Soms;
Cape Starling;Starling;Spreeuwen;Lamprotornis nitens;Roodschouderglansspreeuw;Vaak;Vaak;Vaak;Vaak;Vaak;
Greater Blue-eared Starling;Starling;Spreeuwen;Lamprotornis chalybaeus;Groenstaartglansspreeuw;;;Soms;Vaak;Vaak;
Amethyst Starling;Starling;Spreeuwen;Cinnyricinclus leucogaster;Amethistspreeuw;;Soms;Soms;Soms;Soms;
Karoo Scrub Robin;Flycatcher/Chat;Vliegenvangers/Lijsters;Cercotrichas coryphoeus;Karoowaaierstaart;;;;;;
Eastern Bearded Scrub Robin;Flycatcher/Chat;Vliegenvangers/Lijsters;Cercotrichas quadrivirgata;Streepkopwaaierstaart;;;;Vaak;Vaak;
Kalahari Scrub Robin;Flycatcher/Chat;Vliegenvangers/Lijsters;Cercotrichas paena;Kalahariwaaierstaart;Vaak;Vaak;Vaak;Vaak;Vaak;
White-browed Scrub Robin;Flycatcher/Chat;Vliegenvangers/Lijsters;Cercotrichas leucophrys;Witbrauwwaaierstaart;;;Vaak;Vaak;Vaak;
Herero Chat;Flycatcher/Chat;Vliegenvangers/Lijsters;Namibornis herero;Hererotapuit;;Zelden;;;;
Spotted Flycatcher;Flycatcher/Chat;Vliegenvangers/Lijsters;Muscicapa striata;Grauwe Vliegenvanger;Vaak;Vaak;Vaak;Vaak;Vaak;
Ashy Flycatcher;Flycatcher/Chat;Vliegenvangers/Lijsters;Muscicapa caerulescens;Blauwgrijze Vliegenvanger;;;;Soms;Soms;
Grey Tit Flycatcher;Flycatcher/Chat;Vliegenvangers/Lijsters;Myioparus plumbeus;Meesvliegenvanger;;;;Zelden;Zelden;
Pale Flycatcher;Flycatcher/Chat;Vliegenvangers/Lijsters;Bradornis pallidus;Vale Vliegenvanger;;;;Soms;Soms;
Chat Flycatcher;Flycatcher/Chat;Vliegenvangers/Lijsters;Bradornis infuscatus;Lijstervliegenvanger;;;;;;
Mariqua Flycatcher;Flycatcher/Chat;Vliegenvangers/Lijsters;Bradornis mariquensis;Maricovliegenvanger;;;Vaak;Vaak;Vaak;
Southern Black Flycatcher;Flycatcher/Chat;Vliegenvangers/Lijsters;Melaenornis pammelaina;Kaapse Drongovliegenvanger;;;;Vaak;Vaak;
Cape Robin Chat;Flycatcher/Chat;Vliegenvangers/Lijsters;Cossypha caffra;Kaapse Lawaaimaker;;;;;;
White-browed Robin Chat;Flycatcher/Chat;Vliegenvangers/Lijsters;Cossypha heuglini;Witbrauwlawaaimaker;;;;Vaak;Vaak;
Red-capped Robin Chat;Flycatcher/Chat;Vliegenvangers/Lijsters;Cossypha natalensis;Roodkoplawaaimaker;;;;;Vaak;
Angola Cave Chat;Flycatcher/Chat;Vliegenvangers/Lijsters;Xenocopsychus ansorgei;Holenlawaaimaker;;;;;;
Collared Palm Thrush;Flycatcher/Chat;Vliegenvangers/Lijsters;Cichladusa arquata;Zambesipalmlijster;;;;;;
